Condition,Voice_Sex,Voice,duration_ms,pitch_mean,pitch_stdev,intonation,glide,formant_dispersion,HNR,jitter,shimmer,alpha_ratio,Trustworthiness_VAS,Dominance_VAS,Attractiveness_VAS,Trustworthiness_z,Dominance_z,Attractiveness_z
RS,Female,gm_F10,2349.115646,235.5568783,67.81474433,479.8635128,-76.05898956,1067.342315,14.45213978,0.010709347,0.029791943,1.813231525,239.78333333333333,124.4,205.58333333333334,-0.12397676883318363,-0.9187396691055063,-0.1645469885049387
RS,Female,gm_F11,2373.469388,174.9480609,16.85397586,101.3644149,67.30635494,1119.512837,12.36356369,0.016483156,0.031489048,2.337161691,154.66666666666666,147.2,156.2,-0.890315234555187,-0.8036329185514622,-0.7156582717238238
RS,Female,gm_F14,2491.405896,218.4766355,76.89865743,513.6040206,27.45382867,1035.059802,11.09725893,0.012432655,0.033892336,1.679421357,232.3,205.43333333333334,181.51666666666668,-0.21302026134044402,-0.2646538999552468,-0.4104359304520486
RS,Female,gm_F15,2188.027211,189.3186212,40.87675122,197.2290739,-82.14881548,1024.554225,12.14344345,0.01238875,0.028309478,1.841751589,324.85,311.1,217.43333333333334,0.6430894277094452,0.6037808386933335,-0.039511885713096474
RS,Female,gm_F16,2264.013605,238.1692557,63.86198137,452.8405587,-18.31962761,1069.540089,11.67950595,0.013480496,0.030284,1.671106063,281.8666666666667,248.56666666666666,239.05,0.26625424706509404,0.0775705753814006,0.1265179106900623
RS,Female,gm_F17,2186.462585,210.3513244,19.95933358,84.50872147,-21.87019569,1028.817328,12.51795709,0.010001099,0.027238322,1.434345778,148.26666666666668,251.3,146.23333333333332,-0.957087290779136,0.10972374103404661,-0.761124457519956
RS,Female,gm_F18,2410.430839,179.1505512,58.86999455,231.0996058,146.9663202,1093.590759,11.80389439,0.011051276,0.038696525,1.835589245,241.95,111.91666666666667,270.96666666666664,-0.06658882788487219,-1.0484234121545775,0.4567107658339178
RS,Female,gm_F22,1971.632653,173.2360051,31.17909726,147.9684924,-105.0938877,1037.358573,9.37976831,0.018462075,0.043194485,1.560791213,282.3666666666667,294.8666666666667,230.15,0.2174474017989547,0.45268883174777585,0.05524816588899389
RS,Female,gm_F23,2281.655329,194.5765844,86.80524389,539.5068986,-310.6441201,1016.247608,10.42758417,0.009966562,0.030499906,1.748870371,310.8833333333333,252.41666666666666,292.01666666666665,0.5261291565708632,0.07909414159916354,0.6267892425009545
RS,Female,gm_F24,2148.163265,182.0794721,57.83609159,443.5105502,374.112296,1044.405585,12.89797976,0.008879825,0.025467143,1.844325422,202.11666666666667,293.65,129.85,-0.5542627551601969,0.49240672337372915,-0.9415792111013681
RS,Male,AMS16,2467.845805,118.360385,75.37647387,449.791778,-112.384293,943.2107196,7.968790937,0.01013711,0.043219786,1.383960517,335.06451612903226,338.5,254.83333333333334,0.6866289968377247,0.742010565690971,0.3305096293500812
RS,Male,APW26,2110.47619,117.8087425,25.52098928,208.4599025,182.5385442,901.036221,7.725631372,0.011630171,0.050134497,1.226116348,242.91935483870967,251.28333333333333,116.26666666666667,-0.18693346921948015,0.04996588161645531,-0.9924920437228241
RS,Male,DLS16,2439.229025,97.90013418,42.37145486,349.6864447,-12.81191865,915.0070897,8.082769607,0.013262608,0.057447361,1.580059038,325.64516129032256,350.5,283.06666666666666,0.5475318320662161,0.8952985717728624,0.5777591271941285
RS,Male,MLS27,2777.755102,148.4088426,37.97658745,378.4209599,144.3876582,1032.64741,12.63456944,0.006679453,0.038355891,1.82541923,139.5,134.35,86.06666666666666,-1.1111395463504083,-0.939350251702498,-1.3191048993092909
RS,Male,MON02,2516.689342,113.5785509,15.46130132,65.15590535,-26.04741416,1075.402756,9.087200235,0.012637657,0.051153212000000003,1.515607367,317.38709677419354,176.9,179.91666666666666,0.48118694980126436,-0.5621257165994524,-0.3141692733142369
RS,Male,PMG30,2455.69161,146.9344438,94.17987124,498.7992501,-108.9876621,948.5846065,8.784051425,0.018715864,0.060782777,1.70203493,271.3225806451613,242.11666666666667,264.26666666666665,0.07507642569038162,-0.07463761765812185,0.4398375874269299
RS,Male,PPD02,2236.485261,89.1718337,5.346344631,34.71213932,-12.51181713,973.3878841,9.46511201,0.022107918,0.040910142,1.597180432,142.30645161290323,233.23333333333332,161.66666666666666,-1.085793109266518,-0.13054332278222097,-0.6556269969519489
RS,Male,SHD27,2412.040816,136.4882153,72.17120862,468.9356371,-192.6771925,1066.366322,8.755111145,0.01218362,0.051879092,1.425016071,343.43548387096774,343.75,262.5,0.7426619063555414,0.8171947531805989,0.44817657788050214
RS,Male,SSN18,2290.816327,111.7143248,10.93176188,50.70932564,-3.922586392,870.5786467,8.023993394,0.009815885,0.037770828,1.360438431,328.01612903225805,247.2,260.51666666666665,0.6323451939043815,-0.0384228112437363,0.35547597501687755
RS,Male,WMS16,2126.00907,103.8218718,87.37794063,513.7242976,-8.688423222,973.3330211,7.300659381,0.014220655,0.046996839,1.593705728,157.19354838709677,243.35,150.15,-0.93337211220685,-0.09855400457348953,-0.6226435517965918
RS,Male,gm_M01,2462.290249,105.9373267,67.71631145,497.5084854,160.8650452,1098.004859,9.307194597,0.019611611,0.042987216,1.693874444,269.03225806451616,273.26666666666665,221.38333333333333,0.07328854975709581,0.21805539205576166,-5.039423433582221e-4
RS,Male,gm_M03,2572.947846,142.0380022,34.65873997,223.2617615,137.601018,1058.153723,8.19119372,0.014776571,0.038241716,1.534462341,258.5967741935484,177.71666666666667,159.26666666666668,-0.14716108547431536,-0.5759905133107431,-0.5807436208104833
RS,Male,gm_M04,2477.732426,138.3615831,87.12313192,494.4340403,-226.0523919,1088.649215,7.966070865,0.013569609,0.050966701,1.556167678,304.83870967741933,170.75,180.66666666666666,0.2970324779467663,-0.5846758975009988,-0.3539723576130759
RS,Male,gm_M06,1996.281179,101.6263668,10.44731427,47.63075215,-22.76082336,1024.649584,7.942157652,0.01208545,0.041391631,1.389162523,297,254.13333333333333,202.35,0.29689387135872863,0.06408796036857134,-0.18342282028446175
RS,Male,gm_M07,1922.199546,118.8499837,16.42209362,76.14597351,-18.05151726,1041.331382,8.436808027,0.009847549,0.039146587,1.365400313,301.4516129032258,247.71666666666667,251.33333333333334,0.4084942476037298,-0.010438959745649744,0.30848351110019934
RS,Male,gm_M08,2481.292517,120.4430775,96.55903364,467.8432635,-275.0030538,1063.276649,9.205191469,0.015136393,0.051872945,2.052324216,213.46774193548387,202.1,187.66666666666666,-0.4180526991002338,-0.41661601752518207,-0.3200326675374435
RS,Male,gm_M10,2265.941043,107.3448157,10.35303542,55.98023631,-0.056378075,1005.070263,10.3698734,0.013374925,0.038869118,1.61669895,209.61290322580646,182.66666666666666,179.66666666666666,-0.4530599544239466,-0.5780353060281361,-0.344859175989833
RS,Male,gm_M11,2066.1678,125.9563206,19.99978012,146.3697134,113.3154523,1058.596005,11.71089188,0.009722421,0.034292303,1.543858363,250.9516129032258,258.05,173.75,-0.004897460431433759,0.074169487085518307,-0.39950910527676115
RS,Male,gm_M12,2390,132.3354955,91.54233568,491.2093096,-463.8384206,1083.548851,9.241067116,0.011804731,0.051549528,1.627446846,268.9032258064516,257.25,179.35,0.07253699881564142,0.06627650338292251,-0.3744280706387504
RS,Male,gm_M13,2412.539683,110.0749078,41.21534568,175.5627705,-24.78895811,1074.158463,11.25239068,0.01268822,0.044663299,1.680628278,288.9516129032258,243.9,252.51666666666668,0.2710673845095046,-0.019861737096080495,0.21288519286712893
RS,Male,gm_M14,2328.526077,95.59592335,8.650292512,42.49969842,-18.05671608,1017.312293,8.702792643,0.011019693,0.03383886,1.527942096,243.11290322580646,253.71666666666667,223.53333333333333,-0.11944709466370523,0.004100381403239414,0.05933205579789569
RS,Male,gm_M15,2541.746032,106.8028622,11.37655396,61.3159222,-19.72261307,1006.561366,8.556627865,0.009878617,0.037151103,1.490666387,308.3225806451613,249.3,259.4166666666667,0.4238913629445313,-0.01580014242889348,0.3599794300171876
RS,Male,gm_M16,2083.945578,127.9880199,92.77118305,515.4446151,-120.8167538,1046.0455,8.878270957,0.016120051,0.054898635,1.815880927,293.11290322580646,270.51666666666665,282.3666666666667,0.30732245517933315,0.17776096694875518,0.6255785241942415
RS,Male,gm_M17,2336.213152,126.6641106,37.51956912,181.9372798,131.3702654,1015.064631,8.955424361,0.010702049,0.047155928,1.567648573,306.80645161290323,178.71666666666667,199.28333333333333,0.35302461043156413,-0.5798224215041571,-0.18658139818200511
